time_ana,D_ana_n1,D_ana_n2,D_ana_n3,D_ana_n4
8242,1614.0792170703512,1614.0792170703512,1614.0792170703512,1614.0792170703512
8244,1614.4417630226735,1614.4417630226735,1614.4417630226735,1614.4417630226735
8246,1614.8043037429684,1614.8043037429684,1614.8043037429684,1614.8043037429684
8248,1615.166839232803,1615.166839232803,1615.166839232803,1615.166839232803
8250,1615.5293694937454,1615.5293694937454,1615.5293694937454,1615.5293694937454
8252,1615.8918945273613,1615.8918945273613,1615.8918945273613,1615.8918945273613
8254,1616.2544143352159,1616.2544143352159,1616.2544143352159,1616.2544143352159
8256,1616.616928918874,1616.616928918874,1616.616928918874,1616.616928918874
8258,1616.9794382798991,1616.9794382798991,1616.9794382798991,1616.9794382798991
8260,1617.3419424198541,1617.3419424198541,1617.3419424198541,1617.3419424198541
8262,1617.704441340301,1617.704441340301,1617.704441340301,1617.704441340301
8264,1618.0669350428004,1618.0669350428004,1618.0669350428004,1618.0669350428004
8266,1618.429423528913,1618.429423528913,1618.429423528913,1618.429423528913
8268,1618.7919068001981,1618.7919068001981,1618.7919068001981,1618.7919068001981
8270,1619.1543848582141,1619.1543848582141,1619.1543848582141,1619.1543848582141
8272,1619.5168577045188,1619.5168577045188,1619.5168577045188,1619.5168577045188
8274,1619.8793253406686,1619.8793253406686,1619.8793253406686,1619.8793253406686
8276,1620.24178776822,1620.24178776822,1620.24178776822,1620.24178776822
8278,1620.604244988728,1620.604244988728,1620.604244988728,1620.604244988728
8280,1620.9666970037465,1620.9666970037465,1620.9666970037465,1620.9666970037465
8282,1621.3291438148294,1621.3291438148294,1621.3291438148294,1621.3291438148294
8284,1621.6915854235287,1621.6915854235287,1621.6915854235287,1621.6915854235287
8286,1622.0540218313968,1622.0540218313968,1622.0540218313968,1622.0540218313968
8288,1622.416453039984,1622.416453039984,1622.416453039984,1622.416453039984
8290,1622.7788790508405,1622.7788790508405,1622.7788790508405,1622.7788790508405
8292,1623.1412998655153,1623.1412998655153,1623.1412998655153,1623.1412998655153
8294,1623.503715485557,1623.503715485557,1623.503715485557,1623.503715485557
8296,1623.866125912513,1623.866125912513,1623.866125912513,1623.866125912513
8298,1624.22853114793,1624.22853114793,1624.22853114793,1624.22853114793
8300,1624.5909311933538,1624.5909311933538,1624.5909311933538,1624.5909311933538
8302,1624.953326050329,1624.953326050329,1624.953326050329,1624.953326050329
